fecha,hora,ticket_id,sucursal,producto,cantidad,precio_unitario,vendedor,metodo_pago
2025-12-12,11:50,TF-24168,Sucursal Este,Laptop HP,2,3844,Maria G,Tarjeta
2025-12-04,19:12,TF-62227,Sucursal Sur,Webcam HD,1,12870,,tarjeta
2025-12-04,10:56,TF-44237,Sucursal Norte,Webcam HD,1,1976,Ana M,Efectivo
2025-12-16,18:12,TF-43386,Sucursal Centro,Tablet Samsung,1,8718,Maria G,tarjeta
2025-12-17,10:42,TF-53279,Sucursal Sur,Mouse Logitech,3,14946,Ana M,tarjeta
21-12-2025,11:12,TF-65108,Sucursal Este,Teclado Mecánico,3,9524,Carlos L,Tarjeta
2025-12-17,18:38,TF-95813,Sucursal Sur,Disco Duro 1TB,2,7444,Maria G,Efectivo
2025-12-13,17:42,TF-92960,Sucursal Sur,Mouse Logitech,1,11223,Juan P,Tarjeta
2025-12-19,18:54,TF-19545,Sucursal Este,Tablet Samsung,3,9631,Maria G,Tarjeta
2025-12-24,20:00,TF-23970,Sucursal Este,"Monitor LG 24""",1,13374,Maria G,Efectivo
2025-12-18,11:51,TF-70901,Sucursal Sur,Disco Duro 1TB,3,13553,,EFECTIVO
2026-01-01,11:47,TF-72216,Sucursal Este,Webcam HD,1,13960,Maria G,tarjeta
2025-12-18,10:45,TF-47450,Sucursal Norte,Webcam HD,2,5438,Ana M,Tarjeta
2025-12-26,12:04,TF-64377,Sucursal Este,Auriculares Sony,3,7833,,Efectivo
2025-12-31,18:24,TF-72518,Sucursal Centro,Auriculares Sony,2,12544,,Tarjeta
2025-12-19,12:17,TF-67125,Sucursal Este,Laptop HP,2,5707,Ana M,Tarjeta
2025-12-23,17:01,TF-61645,Sucursal Centro,Mouse Logitech,3,7222,Ana M,tarjeta
2025-12-10,16:20,TF-54236,Sucursal Este,Webcam HD,2,4333,Juan P,tarjeta
2025-12-11,19:04,TF-95426,Sucursal Centro,Laptop HP,1,3466,Ana M,Efectivo
2025-12-22,12:29,TF-43586,Sucursal Sur,Teclado Mecánico,3,10149,Maria G,tarjeta
2025-12-07,18:01,TF-50888,Sucursal Este,Tablet Samsung,3,3449,Juan P,tarjeta
2025-12-31,19:38,TF-25866,Sucursal Centro,Auriculares Sony,3,7218,Juan P,EFECTIVO
2025-12-30,16:06,TF-66822,Sucursal Sur,Disco Duro 1TB,3,2706,Carlos L,EFECTIVO
2025-12-18,15:52,TF-87656,Sucursal Sur,Auriculares Sony,1,13810,Ana M,EFECTIVO
2025-12-14,09:31,TF-52600,Sucursal Norte,Disco Duro 1TB,1,6013,Carlos L,Efectivo
2025-12-20,12:05,TF-41635,Sucursal Este,Disco Duro 1TB,3,12621,Ana M,Efectivo
2025-12-06,13:14,TF-63005,Sucursal Norte,Webcam HD,3,9728,,tarjeta
2025-12-15,20:29,TF-45509,Sucursal Sur,Webcam HD,1,2176,Maria G,Tarjeta
10-12-2025,20:30,TF-46241,Sucursal Sur,Mouse Logitech,1,5053,,Tarjeta
12-12-2025,09:03,TF-82529,Sucursal Sur,Teclado Mecánico,3,14428,Carlos L,EFECTIVO
2025-12-19,16:21,TF-34164,Sucursal Centro,Webcam HD,2,2069,Juan P,Tarjeta
2025-12-08,18:19,TF-21164,Sucursal Norte,Mouse Logitech,3,12724,,EFECTIVO
2025-12-18,16:19,TF-87139,Sucursal Este,Webcam HD,3,10374,Maria G,Tarjeta
2025-12-12,19:05,TF-30585,Sucursal Norte,Teclado Mecánico,3,1429,Ana M,tarjeta
2025-12-05,12:18,TF-47056,Sucursal Este,Mouse Logitech,3,4024,Maria G,EFECTIVO
2025-12-07,17:14,TF-94886,Sucursal Norte,Webcam HD,1,1369,,tarjeta
2025-12-18,10:29,TF-49857,Sucursal Este,Webcam HD,3,9047,Ana M,tarjeta
2025-12-23,13:01,TF-21970,Sucursal Norte,Laptop HP,3,13658,Ana M,EFECTIVO
2026-01-02,13:11,TF-86720,Sucursal Este,Disco Duro 1TB,1,7900,Maria G,tarjeta
2025-12-17,20:31,TF-47777,Sucursal Este,Laptop HP,2,1642,Ana M,Efectivo
2025-12-25,17:29,TF-64165,Sucursal Centro,"Monitor LG 24""",3,6127,Juan P,Tarjeta
2025-12-12,17:08,TF-47752,Sucursal Este,Disco Duro 1TB,1,672,Maria G,tarjeta
2025-12-21,09:35,TF-63476,Sucursal Centro,"Monitor LG 24""",1,7760,Carlos L,tarjeta
2025-12-17,16:30,TF-41946,Sucursal Este,Teclado Mecánico,2,3322,Juan P,tarjeta
2025-12-28,15:21,TF-76550,Sucursal Sur,Laptop HP,2,12095,Ana M,Tarjeta
2025-12-18,17:30,TF-55236,Sucursal Sur,Tablet Samsung,2,5472,Ana M,Tarjeta
2025-12-31,15:02,TF-51704,Sucursal Este,Tablet Samsung,2,11073,Juan P,Tarjeta
2025-12-20,18:21,TF-10018,Sucursal Este,Mouse Logitech,3,7686,Maria G,Efectivo
2025-12-19,13:21,TF-91691,Sucursal Este,Mouse Logitech,2,14164,Ana M,Efectivo
2025-12-23,10:15,TF-92727,Sucursal Sur,"Monitor LG 24""",3,1680,Juan P,EFECTIVO
2025-12-09,20:19,TF-13794,Sucursal Centro,Auriculares Sony,1,5006,Ana M,Tarjeta
2025-12-09,11:05,TF-89887,Sucursal Este,"Monitor LG 24""",2,9754,Carlos L,Efectivo
2026-01-01,16:57,TF-47700,Sucursal Norte,Mouse Logitech,2,5861,Carlos L,EFECTIVO
2025-12-31,13:12,TF-60422,Sucursal Este,Mouse Logitech,1,6448,Carlos L,Efectivo
2025-12-30,19:25,TF-45976,Sucursal Centro,Laptop HP,3,12408,Maria G,tarjeta
2025-12-11,19:12,TF-91381,Sucursal Sur,Teclado Mecánico,3,1791,Ana M,Efectivo
2025-12-22,14:46,TF-27224,Sucursal Centro,Webcam HD,2,12446,Carlos L,tarjeta
2025-12-30,11:16,TF-73156,Sucursal Sur,Auriculares Sony,1,7873,Ana M,tarjeta
2025-12-06,15:00,TF-44663,Sucursal Centro,Disco Duro 1TB,2,11223,Carlos L,Efectivo
2025-12-25,12:30,TF-13280,Sucursal Sur,"Monitor LG 24""",3,1235,Ana M,Efectivo
2025-12-08,09:02,TF-49893,Sucursal Este,Mouse Logitech,1,4046,,EFECTIVO
2025-12-22,20:46,TF-30253,Sucursal Este,Mouse Logitech,2,10286,Carlos L,Tarjeta
2025-12-18,16:15,TF-57537,Sucursal Centro,Auriculares Sony,3,14973,Maria G,Efectivo
2025-12-31,16:05,TF-96870,Sucursal Norte,Laptop HP,1,13090,Maria G,Efectivo
30-12-2025,17:13,TF-86858,Sucursal Norte,"Monitor LG 24""",2,12887,Maria G,Tarjeta
2025-12-21,13:51,TF-32871,Sucursal Centro,Laptop HP,1,443,Juan P,Tarjeta
2025-12-12,09:08,TF-65176,Sucursal Centro,Mouse Logitech,2,7544,,Tarjeta
2025-12-23,09:46,TF-96363,Sucursal Sur,Disco Duro 1TB,3,710,Juan P,EFECTIVO
2025-12-26,16:04,TF-20589,Sucursal Sur,Teclado Mecánico,1,2267,Carlos L,EFECTIVO
2025-12-23,17:18,TF-69469,Sucursal Este,Mouse Logitech,3,2074,Maria G,EFECTIVO
2025-12-18,12:26,TF-54424,Sucursal Este,Tablet Samsung,2,12153,Carlos L,Tarjeta
2025-12-25,16:04,TF-21957,Sucursal Centro,Mouse Logitech,2,1782,Juan P,tarjeta
2025-12-25,10:26,TF-56346,Sucursal Este,Laptop HP,2,10037,Maria G,EFECTIVO
2025-12-11,10:22,TF-82910,Sucursal Sur,Mouse Logitech,2,9606,,Efectivo
2025-12-23,19:53,TF-45054,Sucursal Centro,Teclado Mecánico,2,11713,Maria G,Tarjeta
2025-12-22,19:25,TF-19120,Sucursal Norte,Laptop HP,1,12424,Maria G,tarjeta
2025-12-13,20:20,TF-84395,Sucursal Centro,Laptop HP,1,2779,Ana M,EFECTIVO
2025-12-19,18:28,TF-64287,Sucursal Sur,"Monitor LG 24""",3,2064,,EFECTIVO
2025-12-20,19:19,TF-10038,Sucursal Norte,Tablet Samsung,3,1097,Carlos L,tarjeta
2025-12-14,10:00,TF-75193,Sucursal Este,Teclado Mecánico,1,6429,Carlos L,Efectivo
2025-12-16,20:02,TF-67176,Sucursal Centro,Disco Duro 1TB,1,14324,Ana M,tarjeta
2025-12-07,15:01,TF-52568,Sucursal Norte,Disco Duro 1TB,3,6128,,EFECTIVO
2025-12-20,10:25,TF-50668,Sucursal Sur,"Monitor LG 24""",2,12965,,Tarjeta
2026-01-01,14:22,TF-94599,Sucursal Norte,"Monitor LG 24""",1,2599,Juan P,Tarjeta
2025-12-28,19:31,TF-70811,Sucursal Este,Auriculares Sony,3,5379,Carlos L,tarjeta
2025-12-22,09:22,TF-10047,Sucursal Centro,Webcam HD,2,7604,Juan P,EFECTIVO
2025-12-18,18:35,TF-15376,Sucursal Este,"Monitor LG 24""",2,10112,Juan P,tarjeta
2025-12-26,10:32,TF-94689,Sucursal Norte,Laptop HP,1,11793,Maria G,tarjeta
2025-12-15,13:24,TF-63578,Sucursal Sur,Laptop HP,3,10805,Ana M,tarjeta
2025-12-12,20:54,TF-96057,Sucursal Norte,Auriculares Sony,1,9747,Ana M,Tarjeta
2025-12-23,20:05,TF-50577,Sucursal Este,Auriculares Sony,1,11179,,Efectivo
2025-12-24,19:27,TF-76648,Sucursal Sur,Laptop HP,2,5260,Ana M,Tarjeta
2025-12-11,11:09,TF-20114,Sucursal Sur,Mouse Logitech,3,12830,Carlos L,Tarjeta
2025-12-23,15:09,TF-10046,Sucursal Norte,Teclado Mecánico,3,7370,Ana M,tarjeta
2025-12-28,20:50,TF-68841,Sucursal Norte,"Monitor LG 24""",2,13448,,EFECTIVO
2025-12-18,13:49,TF-60052,Sucursal Este,Teclado Mecánico,1,13327,Ana M,tarjeta
2025-12-21,10:45,TF-77621,Sucursal Centro,Webcam HD,1,12702,Ana M,Efectivo
2026-01-02,12:52,TF-69130,Sucursal Sur,Laptop HP,2,1072,Juan P,tarjeta
2025-12-11,09:20,TF-22987,Sucursal Sur,Teclado Mecánico,1,827,Maria G,EFECTIVO
2025-12-18,18:00,TF-20384,Sucursal Centro,Webcam HD,1,13880,Ana M,Efectivo
2025-12-28,13:15,TF-49472,Sucursal Centro,Laptop HP,1,7078,Ana M,Efectivo
2025-12-24,17:36,TF-41711,Sucursal Norte,Webcam HD,2,225,Juan P,tarjeta
2025-12-06,17:34,TF-76496,Sucursal Centro,Tablet Samsung,2,913,Juan P,tarjeta
2025-12-29,10:22,TF-41604,Sucursal Centro,Auriculares Sony,1,926,Ana M,EFECTIVO
2025-12-24,11:51,TF-27675,Sucursal Centro,Disco Duro 1TB,1,5007,Carlos L,tarjeta
2025-12-20,15:52,TF-81176,Sucursal Este,Webcam HD,1,12541,Juan P,tarjeta
2025-12-12,10:51,TF-58237,Sucursal Este,Tablet Samsung,3,7404,Ana M,EFECTIVO
2025-12-15,17:17,TF-20828,Sucursal Este,Mouse Logitech,2,10070,Juan P,Efectivo
2025-12-14,19:18,TF-50173,Sucursal Este,Tablet Samsung,1,11501,Carlos L,EFECTIVO
2025-12-12,19:50,TF-17518,Sucursal Centro,Tablet Samsung,2,8606,Maria G,EFECTIVO
2025-12-05,11:04,TF-10019,Sucursal Sur,Auriculares Sony,2,9493,Carlos L,EFECTIVO
2025-12-28,10:36,TF-28047,Sucursal Sur,Tablet Samsung,2,10842,Maria G,EFECTIVO
2025-12-20,15:58,TF-83619,Sucursal Centro,Webcam HD,2,11734,Ana M,Tarjeta
2025-12-07,11:54,TF-19706,Sucursal Este,Teclado Mecánico,3,7492,Carlos L,tarjeta
2025-12-26,10:35,TF-81063,Sucursal Sur,Webcam HD,1,11862,Carlos L,Tarjeta
2025-12-07,12:50,TF-28202,Sucursal Norte,Disco Duro 1TB,1,6112,,Tarjeta
2025-12-23,10:04,TF-50539,Sucursal Este,Disco Duro 1TB,3,6930,Carlos L,Efectivo
2025-12-18,16:43,TF-77811,Sucursal Sur,Teclado Mecánico,3,10682,,Efectivo
2025-12-30,10:33,TF-30056,Sucursal Sur,Teclado Mecánico,1,5486,,tarjeta
2025-12-31,10:16,TF-35729,Sucursal Sur,Teclado Mecánico,3,5161,,Tarjeta
2025-12-09,19:39,TF-10082,Sucursal Sur,Laptop HP,1,1530,Maria G,EFECTIVO
2025-12-23,19:01,TF-75278,Sucursal Sur,Webcam HD,2,4212,Juan P,Efectivo
2025-12-09,16:26,TF-73471,Sucursal Este,"Monitor LG 24""",2,10139,Carlos L,EFECTIVO
2025-12-08,14:32,TF-83616,Sucursal Centro,Auriculares Sony,1,7842,Juan P,tarjeta
2025-12-16,18:26,TF-42541,Sucursal Norte,Auriculares Sony,3,12014,,EFECTIVO
2025-12-19,13:31,TF-13037,Sucursal Centro,Tablet Samsung,3,7691,Juan P,tarjeta
2025-12-19,18:56,TF-95755,Sucursal Este,Webcam HD,3,333,Carlos L,EFECTIVO
2025-12-15,09:25,TF-16705,Sucursal Norte,Auriculares Sony,3,4928,Carlos L,Efectivo
2025-12-08,10:25,TF-58915,Sucursal Sur,Auriculares Sony,1,3461,Juan P,Tarjeta
2025-12-26,14:51,TF-72094,Sucursal Este,Teclado Mecánico,3,14833,Maria G,EFECTIVO
2025-12-23,20:53,TF-49221,Sucursal Sur,Disco Duro 1TB,3,9422,Juan P,EFECTIVO
2025-12-22,13:50,TF-92478,Sucursal Centro,Disco Duro 1TB,2,10941,Juan P,EFECTIVO
09-12-2025,17:40,TF-10089,Sucursal Este,Teclado Mecánico,3,4168,Carlos L,EFECTIVO
2025-12-08,15:44,TF-36724,Sucursal Este,Disco Duro 1TB,3,12117,Carlos L,EFECTIVO
2025-12-20,15:20,TF-32699,Sucursal Este,Auriculares Sony,3,6004,Carlos L,EFECTIVO
2025-12-10,12:17,TF-83149,Sucursal Sur,"Monitor LG 24""",2,12834,Carlos L,EFECTIVO
2025-12-15,17:59,TF-45842,Sucursal Sur,Mouse Logitech,3,11285,Carlos L,Tarjeta
2025-12-13,09:18,TF-20358,Sucursal Sur,Disco Duro 1TB,3,4401,Carlos L,tarjeta
2025-12-08,10:39,TF-86917,Sucursal Norte,"Monitor LG 24""",1,11174,Juan P,EFECTIVO
2025-12-14,20:30,TF-23178,Sucursal Norte,Laptop HP,3,2787,Ana M,Tarjeta
2025-12-28,13:20,TF-47409,Sucursal Centro,Mouse Logitech,3,9606,Juan P,Tarjeta
2025-12-17,11:59,TF-14763,Sucursal Este,Disco Duro 1TB,1,12471,Juan P,tarjeta
2025-12-22,18:06,TF-53914,Sucursal Sur,Disco Duro 1TB,3,9101,,EFECTIVO
12-12-2025,12:51,TF-24764,Sucursal Sur,Teclado Mecánico,3,7718,Carlos L,tarjeta
2025-12-22,19:48,TF-35318,Sucursal Norte,Tablet Samsung,2,8642,Maria G,EFECTIVO
2025-12-14,12:00,TF-44181,Sucursal Este,"Monitor LG 24""",2,12549,,Efectivo
2025-12-12,19:23,TF-40972,Sucursal Centro,Mouse Logitech,2,5226,Carlos L,Efectivo
2025-12-24,13:23,TF-90560,Sucursal Norte,"Monitor LG 24""",1,8034,Ana M,EFECTIVO
2025-12-28,17:51,TF-97044,Sucursal Norte,"Monitor LG 24""",3,12565,,tarjeta
2025-12-06,18:07,TF-18094,Sucursal Norte,Teclado Mecánico,1,5575,,EFECTIVO
2025-12-06,17:28,TF-17292,Sucursal Este,Teclado Mecánico,3,7006,Carlos L,Efectivo
2025-12-16,13:52,TF-10395,Sucursal Norte,Mouse Logitech,1,7141,Juan P,EFECTIVO
2025-12-05,13:26,TF-33590,Sucursal Norte,Tablet Samsung,2,14803,Ana M,Efectivo
2025-12-25,19:55,TF-80687,Sucursal Norte,Auriculares Sony,1,3124,Maria G,Efectivo
2025-12-28,09:19,TF-70686,Sucursal Este,Tablet Samsung,1,4255,Juan P,Efectivo
2025-12-29,19:26,TF-90599,Sucursal Centro,"Monitor LG 24""",1,1302,Juan P,Tarjeta
2025-12-27,09:25,TF-67535,Sucursal Norte,"Monitor LG 24""",1,2495,,tarjeta
2025-12-22,18:49,TF-98150,Sucursal Sur,"Monitor LG 24""",2,14556,Carlos L,tarjeta
2025-12-05,17:37,TF-32955,Sucursal Este,Disco Duro 1TB,1,5842,Carlos L,EFECTIVO
2025-12-17,11:19,TF-59343,Sucursal Norte,Disco Duro 1TB,1,14115,Ana M,Efectivo
2025-12-21,15:26,TF-83044,Sucursal Norte,Tablet Samsung,1,4377,Carlos L,Efectivo
2025-12-21,20:53,TF-34966,Sucursal Centro,Webcam HD,2,11237,,Tarjeta
2025-12-19,12:55,TF-53642,Sucursal Sur,Laptop HP,1,3313,Ana M,Tarjeta
2025-12-26,18:45,TF-36805,Sucursal Este,"Monitor LG 24""",3,5469,Carlos L,tarjeta
2025-12-12,14:32,TF-75179,Sucursal Este,Mouse Logitech,3,7892,Carlos L,EFECTIVO
2025-12-05,18:55,TF-39002,Sucursal Norte,Laptop HP,2,9265,Maria G,Tarjeta
2025-12-14,12:24,TF-84683,Sucursal Norte,Disco Duro 1TB,3,10925,Ana M,EFECTIVO
2025-12-18,11:46,TF-56160,Sucursal Norte,Teclado Mecánico,3,9154,Juan P,Efectivo
2025-12-30,10:52,TF-97584,Sucursal Centro,Laptop HP,2,2452,Juan P,Tarjeta
20-12-2025,16:23,TF-17923,Sucursal Este,Disco Duro 1TB,1,308,Carlos L,tarjeta
2025-12-04,17:52,TF-98346,Sucursal Este,Teclado Mecánico,1,1778,Carlos L,tarjeta
2025-12-12,15:05,TF-58896,Sucursal Este,Disco Duro 1TB,3,4184,Juan P,Efectivo
2025-12-06,15:24,TF-59436,Sucursal Este,Laptop HP,3,354,Carlos L,Efectivo
2026-01-01,17:58,TF-15577,Sucursal Norte,"Monitor LG 24""",3,14741,Carlos L,Efectivo
2025-12-09,14:01,TF-37152,Sucursal Norte,Tablet Samsung,1,5103,Ana M,tarjeta
2025-12-16,20:08,TF-20279,Sucursal Sur,Laptop HP,1,7361,,EFECTIVO
2025-12-28,14:01,TF-93115,Sucursal Sur,Disco Duro 1TB,2,3937,,EFECTIVO
2025-12-06,18:18,TF-42302,Sucursal Centro,Mouse Logitech,2,2726,Ana M,tarjeta
2025-12-15,10:05,TF-10680,Sucursal Sur,Disco Duro 1TB,2,12673,Ana M,EFECTIVO
2025-12-07,09:05,TF-56388,Sucursal Centro,Auriculares Sony,2,402,,Tarjeta
2025-12-22,17:10,TF-99825,Sucursal Este,Teclado Mecánico,1,4605,Ana M,tarjeta
2025-12-17,13:30,TF-20082,Sucursal Sur,Webcam HD,1,12011,Juan P,Tarjeta
2025-12-13,09:25,TF-53544,Sucursal Este,Auriculares Sony,2,5684,,Tarjeta
2025-12-13,14:38,TF-36326,Sucursal Este,Auriculares Sony,1,6724,Ana M,Tarjeta
2025-12-14,15:17,TF-61502,Sucursal Sur,Mouse Logitech,3,3473,,Efectivo
2025-12-27,16:45,TF-37479,Sucursal Este,Webcam HD,3,1333,Ana M,Tarjeta
2025-12-24,13:15,TF-43119,Sucursal Norte,Tablet Samsung,2,1411,,EFECTIVO
2025-12-21,09:50,TF-57124,Sucursal Centro,Mouse Logitech,1,10974,,EFECTIVO
2025-12-28,14:50,TF-66420,Sucursal Centro,Laptop HP,1,4439,,Tarjeta
2025-12-18,14:25,TF-70694,Sucursal Norte,Auriculares Sony,1,8109,Juan P,Tarjeta
2025-12-15,13:21,TF-69681,Sucursal Norte,Disco Duro 1TB,2,8001,Juan P,tarjeta
2025-12-05,20:07,TF-12960,Sucursal Sur,Mouse Logitech,3,13308,Maria G,Tarjeta
2025-12-14,17:27,TF-70562,Sucursal Norte,Tablet Samsung,3,3222,,Tarjeta
2025-12-18,18:27,TF-60965,Sucursal Centro,"Monitor LG 24""",1,4760,Juan P,Tarjeta
2025-12-15,14:12,TF-69972,Sucursal Centro,Webcam HD,3,14333,Ana M,EFECTIVO
2025-12-22,10:22,TF-56135,Sucursal Este,Teclado Mecánico,3,11766,Maria G,tarjeta
2025-12-07,12:19,TF-25328,Sucursal Norte,Auriculares Sony,3,2516,Ana M,EFECTIVO
2025-12-09,16:40,TF-80435,Sucursal Norte,Teclado Mecánico,2,4932,Juan P,tarjeta
2025-12-04,16:08,TF-35575,Sucursal Este,Disco Duro 1TB,2,11418,Maria G,Efectivo
2025-12-22,09:50,TF-38905,Sucursal Sur,Laptop HP,2,3883,Ana M,Efectivo
2025-12-22,10:17,TF-81186,Sucursal Sur,Laptop HP,3,7431,Maria G,tarjeta
2025-12-31,09:28,TF-44447,Sucursal Sur,Mouse Logitech,2,14376,,tarjeta
2025-12-31,20:39,TF-92938,Sucursal Este,Teclado Mecánico,3,2481,,tarjeta
2025-12-21,13:38,TF-80617,Sucursal Norte,Auriculares Sony,3,4994,Juan P,Tarjeta
2025-12-28,15:58,TF-17770,Sucursal Sur,Teclado Mecánico,3,14389,Maria G,EFECTIVO
2025-12-19,11:36,TF-92890,Sucursal Sur,Tablet Samsung,2,7605,Ana M,tarjeta
2025-12-26,14:29,TF-73968,Sucursal Sur,Laptop HP,3,1726,Carlos L,Efectivo
2025-12-29,17:25,TF-38551,Sucursal Este,"Monitor LG 24""",2,4599,Maria G,EFECTIVO
2025-12-29,14:57,TF-99463,Sucursal Centro,Laptop HP,1,10459,Maria G,EFECTIVO
2025-12-18,09:27,TF-36518,Sucursal Norte,Webcam HD,1,14526,Carlos L,Efectivo
2025-12-15,19:57,TF-95054,Sucursal Norte,Laptop HP,2,10449,Juan P,Efectivo
2025-12-04,12:30,TF-20215,Sucursal Norte,"Monitor LG 24""",3,"$11,340",Juan P,EFECTIVO
2025-12-26,11:30,TF-19283,Sucursal Norte,Tablet Samsung,1,12172,Carlos L,Tarjeta
2025-12-16,11:41,TF-10083,Sucursal Norte,Mouse Logitech,3,9428,Maria G,Tarjeta
2026-01-02,15:39,TF-99989,Sucursal Este,"Monitor LG 24""",1,14889,Ana M,tarjeta
2025-12-17,14:50,TF-28327,Sucursal Norte,Webcam HD,3,1580,Carlos L,Efectivo
2025-12-31,19:56,TF-49537,Sucursal Norte,"Monitor LG 24""",3,6618,Maria G,EFECTIVO
2025-12-16,10:15,TF-75481,Sucursal Centro,Laptop HP,2,5385,Carlos L,Tarjeta
2025-12-28,16:49,TF-19567,Sucursal Centro,Mouse Logitech,1,4495,Ana M,tarjeta
2025-12-24,20:32,TF-64451,Sucursal Este,Tablet Samsung,1,10694,Carlos L,Efectivo
2025-12-20,12:51,TF-30365,Sucursal Sur,Tablet Samsung,3,10592,Carlos L,EFECTIVO
2025-12-27,12:03,TF-42044,Sucursal Centro,Tablet Samsung,1,7628,Maria G,Efectivo
2025-12-04,20:08,TF-11487,Sucursal Norte,Disco Duro 1TB,2,8768,Carlos L,Tarjeta
2025-12-27,13:46,TF-25473,Sucursal Centro,Auriculares Sony,2,4656,Juan P,EFECTIVO
2025-12-18,17:23,TF-17266,Sucursal Este,Teclado Mecánico,2,2777,Juan P,Tarjeta
2025-12-27,17:00,TF-15772,Sucursal Centro,"Monitor LG 24""",1,7929,Juan P,EFECTIVO
2025-12-11,14:15,TF-64559,Sucursal Sur,Webcam HD,1,9564,Maria G,Tarjeta
2025-12-29,17:02,TF-62550,Sucursal Centro,Disco Duro 1TB,2,12873,Juan P,tarjeta
2025-12-10,13:36,TF-49834,Sucursal Norte,Disco Duro 1TB,2,9894,,Tarjeta
08-12-2025,09:59,TF-63744,Sucursal Centro,"Monitor LG 24""",3,5875,Carlos L,Efectivo
2025-12-28,19:24,TF-50306,Sucursal Centro,"Monitor LG 24""",3,4102,Maria G,tarjeta
2025-12-06,09:58,TF-40339,Sucursal Este,Auriculares Sony,2,12453,Ana M,Efectivo
2025-12-22,18:03,TF-67014,Sucursal Norte,"Monitor LG 24""",2,4476,Carlos L,tarjeta
2025-12-18,13:14,TF-19789,Sucursal Norte,Teclado Mecánico,3,1985,Ana M,Efectivo
2025-12-21,14:49,TF-37215,Sucursal Este,Webcam HD,2,4541,Carlos L,Efectivo
2025-12-10,14:09,TF-10038,Sucursal Norte,Auriculares Sony,2,8612,Juan P,EFECTIVO
31-12-2025,16:35,TF-82105,Sucursal Norte,Mouse Logitech,2,1869,Maria G,Tarjeta
2025-12-10,15:23,TF-99952,Sucursal Centro,Webcam HD,1,557,Maria G,Efectivo
2026-01-01,14:07,TF-15596,Sucursal Este,Laptop HP,1,9602,Ana M,EFECTIVO
2025-12-09,14:13,TF-34530,Sucursal Sur,Webcam HD,2,14674,Carlos L,EFECTIVO
